experiment,trainable_scope,learning_rate,epochs,best_epoch,val_accuracy,val_macro_f1,val_weighted_f1,val_top5_accuracy,test_accuracy,test_macro_f1,test_weighted_f1,test_top5_accuracy
Frozen head,head,0.001,5,4,0.8972602739726028,0.8967313344002895,0.8975142684847373,0.9960861056751468,,,,
Layer4 (LR=1e-4),layer4,0.0001,10,10,0.9677103718199609,0.9669226189497088,0.967352976130179,0.9980430528375733,,,,
Layer4 (LR=3e-5),layer4,3e-05,10,9,0.9706457925636007,0.9702637804953054,0.9707499531983265,0.9980430528375733,0.971028971028971,0.9722150791788153,0.9710963580266879,0.998001998001998
