epoch,train_loss,train_top1,val_loss,val_top1,val_top5,val_macro_f1,learning_rate,epoch_time_seconds
1,1.826012750189668,0.6495564005069708,1.0831427515836145,0.8111545988258317,0.9833659491193738,0.8116224599488575,0.001,38.80034613609314
2,0.7733265612263391,0.866497676383608,0.7090890439055904,0.8532289628180039,0.9911937377690803,0.8549705412017573,0.0009890738003669028,37.17869210243225
3,0.5234292719023712,0.9095901985635826,0.5460012277511701,0.8835616438356164,0.9941291585127201,0.8854460849784452,0.0009567727288213003,34.99556088447571
4,0.4117078018128041,0.9269117025771019,0.46607620521300924,0.8953033268101761,0.9921722113502935,0.8965668858516352,0.0009045084971874737,36.656426191329956
5,0.3444271913096529,0.9393747359526827,0.41236562020857975,0.9090019569471625,0.9960861056751468,0.9099092619047914,0.0008345653031794292,35.06046509742737
6,0.2989193446458922,0.9467680608365019,0.37200637380437607,0.910958904109589,0.99706457925636,0.9117393149007313,0.00075,34.67531871795654
7,0.26431885445399983,0.9558512885509083,0.3482471424539495,0.9197651663405088,0.99706457925636,0.9199376529766459,0.0006545084971874737,34.27394509315491
8,0.24622194792557528,0.9573299535276721,0.3315483509561087,0.9227005870841487,0.9980430528375733,0.9236391799845248,0.0005522642316338268,34.871098041534424
9,0.22750997803334097,0.9604985213350232,0.3180241000978914,0.9227005870841487,0.99706457925636,0.9229305483440193,0.0004477357683661734,35.03712773323059
10,0.20993540729708846,0.9632446134347274,0.30776703625975754,0.9266144814090019,0.9980430528375733,0.9271921207788762,0.0003454915028125264,34.53756308555603
11,0.2065868959756254,0.9647232784114913,0.30143507743534975,0.9256360078277887,0.9990215264187867,0.9263897339378585,0.0002500000000000001,34.783538818359375
12,0.20303852609380368,0.9640895648500212,0.2930540890376395,0.9285714285714286,0.9980430528375733,0.9293440406961487,0.00016543469682057103,39.841819524765015
13,0.19668303075650598,0.9702154626108999,0.2912472246794318,0.9295499021526419,0.9980430528375733,0.930452511835043,9.549150281252631e-05,38.800053119659424
14,0.19443607144608596,0.9672581326573721,0.28998362318177046,0.9295499021526419,0.9980430528375733,0.9302866122677348,4.322727117869951e-05,35.05302977561951
15,0.19343983134893009,0.967680608365019,0.28984875023481665,0.9305283757338552,0.9980430528375733,0.9314140502965814,1.0926199633097156e-05,34.994263887405396
