model,checkpoint_sha256,num_samples,accuracy,owner_reported_accuracy,macro_f1,weighted_f1,top5_accuracy,lab_accuracy,field_accuracy,lab_field_accuracy_gap
Baseline-CustomCNN,2ae3f85a28d46e2207c5cf6a8c37efe817af5794c8c2ea0845a6ebb02206367d,1001,0.8041958041958042,0.8051948051948052,0.8084226379216316,0.8009440608922775,0.986013986013986,0.8263157894736842,0.7344398340248963,0.0918759554487879
MobileNetV2-Partial,9716e5f311abb5c828539f9ab7963c7444f6caf2cbc004e3c4c91838ddc9129a,1001,0.938061938061938,0.938061938061938,0.9398686750293611,0.9380377593079248,1.0,0.9302631578947368,0.9626556016597511,-0.03239244376501427
ResNet18-Layer4,9ece5f02e59de428a475f5fe864cc4d4f97ec5dad3296fdb4d95244728aa0903,1001,0.971028971028971,0.971028971028971,0.9722150791788153,0.971096358026688,0.998001998001998,0.975,0.9585062240663901,0.0164937759336099
