model,class_idx,class_name,precision,recall,f1,support
ResNet18-Layer4,8,catalpa_bignonioides,1.0,0.967741935483871,0.9836065573770492,31
ResNet18-Layer4,9,cercis_canadensis,0.967741935483871,1.0,0.9836065573770492,30
ResNet18-Layer4,10,chionanthus_virginicus,0.9705882352941176,0.9705882352941176,0.9705882352941176,34
ResNet18-Layer4,11,cryptomeria_japonica,1.0,1.0,1.0,23
ResNet18-Layer4,12,diospyros_virginiana,0.8809523809523809,0.9736842105263158,0.925,38
ResNet18-Layer4,13,fraxinus_nigra,1.0,0.9655172413793104,0.9824561403508771,29
ResNet18-Layer4,14,gleditsia_triacanthos,1.0,1.0,1.0,30
ResNet18-Layer4,15,ilex_opaca,0.972972972972973,1.0,0.9863013698630138,36
ResNet18-Layer4,16,juglans_cinerea,0.96875,0.96875,0.96875,32
ResNet18-Layer4,17,liriodendron_tulipifera,0.9705882352941176,0.9705882352941176,0.9705882352941176,34
ResNet18-Layer4,18,maclura_pomifera,0.9696969696969697,0.9411764705882353,0.955223880597015,34
ResNet18-Layer4,19,ostrya_virginiana,0.8611111111111112,1.0,0.9253731343283582,31
ResNet18-Layer4,20,prunus_sargentii,1.0,0.9545454545454546,0.9767441860465117,22
ResNet18-Layer4,21,prunus_virginiana,1.0,1.0,1.0,37
ResNet18-Layer4,22,ptelea_trifoliata,1.0,0.9743589743589743,0.9870129870129869,39
ResNet18-Layer4,23,quercus_montana,1.0,1.0,1.0,34
ResNet18-Layer4,24,quercus_muehlenbergii,1.0,1.0,1.0,16
ResNet18-Layer4,25,staphylea_trifolia,1.0,0.9375,0.967741935483871,32
ResNet18-Layer4,26,styrax_japonica,0.918918918918919,0.9444444444444444,0.9315068493150684,36
ResNet18-Layer4,27,ulmus_americana,0.8709677419354839,0.84375,0.8571428571428571,32
ResNet18-Layer4,28,ulmus_pumila,0.9666666666666667,0.9666666666666667,0.9666666666666667,30
ResNet18-Layer4,29,ulmus_rubra,0.9777777777777777,0.8979591836734694,0.9361702127659575,49
