model,architecture,image_size,normalization,total_parameters,trainable_parameters,checkpoint_size_bytes,checkpoint_size_mb,batch1_median_latency_ms,batch1_mean_latency_ms,batch1_images_per_second,batch_size_for_throughput,batch_throughput_median_ms_per_image,batch_throughput_images_per_second,checkpoint_sha256
Baseline-CustomCNN,baseline,128,standard,1209982,1209982,4867863,4.867863,7.725020521320403,7.825870825909077,129.4494943075018,32,12.45081119122915,80.31605207413635,2ae3f85a28d46e2207c5cf6a8c37efe817af5794c8c2ea0845a6ebb02206367d
MobileNetV2-Partial,mobilenetv2,224,imagenet,2262302,1564510,9301835,9.301835,57.84810439217836,58.31160992849618,17.28665114453102,32,43.52360287884949,22.976039065138032,9716e5f311abb5c828539f9ab7963c7444f6caf2cbc004e3c4c91838ddc9129a
ResNet18-Layer4,resnet18,224,imagenet,11191902,8409118,44846987,44.846987,17.518104054033756,21.58026505727321,57.08380295696085,32,26.88241537543945,37.199038331712885,9ece5f02e59de428a475f5fe864cc4d4f97ec5dad3296fdb4d95244728aa0903
